Ticker,Pass,Score,Entry,Stop,Target,Qty,PosValue,ATR14,RSI14,SMA50,SMA200,Breakout20,VolConfirm,Reason
BEL.NS,True,10,444.70001220703125,425.20715767996654,473.93929399762834,51.0,22679.700622558594,9.746427263532366,55.30848143331889,422.3470001220703,404.7318070983887,False,True,Trend OK; Near MA20/50; RSI OK; Vol bonus
JSWSTEEL.NS,True,10,1264.699951171875,1220.3284912109375,1331.2571411132812,22.0,27823.39892578125,22.18572998046875,57.010670962159004,1193.58,1110.7557510375977,False,True,Trend OK; Near MA20/50; RSI OK; Vol bonus
NESTLEIND.NS,True,10,1291.699951171875,1245.5999058314733,1360.8500191824776,21.0,27125.698974609375,23.050022670200892,48.8231675648199,1291.43330078125,1221.6829083251953,False,True,Trend OK; Near MA20/50; RSI OK; Vol bonus
SUNPHARMA.NS,True,10,1737.0,1689.0428466796875,1808.9357299804688,20.0,34740.0,23.97857666015625,58.63540208703822,1698.3219555664064,1677.093491821289,False,True,Trend OK; Near MA20/50; RSI OK; Vol bonus
TITAN.NS,True,10,4327.5,4177.028459821428,4553.207310267857,6.0,25965.0,75.23577008928571,58.03183791606367,4125.474018554687,3733.901470947266,False,True,Trend OK; Near MA20/50; RSI OK; Vol bonus
AXISBANK.NS,True,9,1383.9000244140625,1338.857177734375,1451.4642944335938,22.0,30445.800537109375,22.52142333984375,62.31884057971014,1310.0500048828126,1208.0994982910156,False,False,Trend OK; Near MA20/50; RSI OK
BAJAJ-AUTO.NS,True,9,9972.5,9573.357142857143,10571.214285714286,2.0,19945.0,199.57142857142858,61.54542710534259,9547.16,8894.957387695313,False,False,Trend OK; Near MA20/50; RSI OK
BAJFINANCE.NS,True,9,995.9000244140625,950.0857456752232,1064.6214425223213,21.0,20913.900512695312,22.907139369419642,54.09835936923688,978.0579992675781,967.5503979492188,False,False,Trend OK; Near MA20/50; RSI OK
COALINDIA.NS,True,9,430.6499938964844,412.2116443994582,458.30751814202364,54.0,23255.099670410156,9.219174748513085,53.22869814380552,416.73151611328126,381.36323257446287,False,False,Trend OK; Near MA20/50; RSI OK
LT.NS,True,9,4278.2998046875,4117.956891741072,4518.814174107143,6.0,25669.798828125,80.17145647321429,62.9135786966246,4064.847998046875,3806.7305493164063,False,False,Trend OK; Near MA20/50; RSI OK
SHRIRAMFIN.NS,True,9,1079.4000244140625,1026.7571498325892,1158.3643362862724,18.0,19429.200439453125,26.321437290736608,54.19389133349724,1010.2699975585938,766.8041168212891,False,False,Trend OK; Near MA20/50; RSI OK
SBIN.NS,True,9,1201.699951171875,1157.7999616350446,1267.5499354771205,22.0,26437.39892578125,21.949994768415177,67.75009958547545,1072.9459985351561,911.3289987182617,False,False,Trend OK; Near MA20/50; RSI OK
ULTRACEMCO.NS,False,8,12677.0,12270.42857142857,13286.857142857143,2.0,25354.0,203.28571428571428,36.81592039800994,12398.52,12109.569501953125,False,True,Trend OK; Near MA20/50; Vol bonus; Failed rule(s)
ADANIPORTS.NS,False,7,1521.0,1447.2856968470983,1631.5714547293528,13.0,19773.0,36.857151576450896,42.39822161422708,1480.4459985351561,1436.081640625,False,False,Trend OK; Near MA20/50; Failed rule(s)
CIPLA.NS,False,6,1348.199951171875,1302.7142333984375,1416.4285278320312,21.0,28312.198974609375,22.74285888671875,51.75815784638277,1400.5020043945312,1490.0126593017578,False,True,Near MA20/50; RSI OK; Vol bonus; Failed rule(s)
DRREDDY.NS,False,6,1286.300048828125,1236.0142996651787,1361.7286725725446,19.0,24439.700927734375,25.142874581473215,53.44828392588493,1246.7240063476563,1258.8664575195312,False,True,Near MA20/50; RSI OK; Vol bonus; Failed rule(s)
POWERGRID.NS,False,6,298.6499938964844,284.8999982561384,319.27498735700334,72.0,21502.799560546875,6.874997820172991,58.42802160042678,272.59691741943357,276.95080253601077,False,True,Near MA20/50; RSI OK; Vol bonus; Failed rule(s)
TATASTEEL.NS,False,6,212.3300018310547,201.66571916852678,228.32642582484652,93.0,19746.690170288086,5.3321413312639505,62.737362581538555,191.2472003173828,171.44714599609375,False,False,Trend OK; RSI OK; Failed rule(s)
EICHERMOT.NS,False,5,8010.5,7608.071428571428,8614.142857142857,2.0,16021.0,201.21428571428572,72.91901012373452,7456.08,6539.004895019531,False,True,Trend OK; Vol bonus; Failed rule(s)
MAXHEALTH.NS,False,4,1091.949951171875,1047.59281703404,1158.4856523786273,22.0,24022.89892578125,22.17856706891741,76.49522928480317,1040.1499963378906,1145.5966342163085,False,True,Near MA20/50; Vol bonus; Failed rule(s)
NTPC.NS,False,4,381.8999938964844,369.2428501674107,400.8857094900949,79.0,30170.099517822266,6.328571864536831,70.53387575651615,349.06989318847656,333.36202423095705,False,False,Trend OK; Failed rule(s)
ONGC.NS,False,4,279.70001220703125,266.3940342801562,299.65897909734383,75.0,20977.500915527344,6.652988963437524,71.12283510601209,249.17317321777344,236.16487831115722,False,False,Trend OK; Failed rule(s)
HDFCLIFE.NS,False,3,715.2999877929688,687.8499843052456,756.4749930245536,36.0,25750.799560546875,13.725001743861608,53.81047954948459,734.6749975585938,757.6944506835938,False,True,RSI OK; Vol bonus; Failed rule(s)
MARUTI.NS,False,3,14857.0,14328.857142857143,15649.214285714286,1.0,14857.0,264.07142857142856,47.19517848864163,15750.16,14650.413666992188,False,True,RSI OK; Vol bonus; Failed rule(s)
SBILIFE.NS,False,3,2037.199951171875,1964.3856898716517,2146.4213431222097,13.0,26483.599365234375,36.407130650111604,52.80610682585602,2044.006005859375,1905.990502319336,False,True,RSI OK; Vol bonus; Failed rule(s)
