Ticker,Pass,Score,Entry,Stop,Target,RR,Qty,PosValue,ATR14,RSI14,Dist_SMA50_%,VolConfirm,Reason
JSWSTEEL.NS,True,10,1267.4000244140625,1217.5334634946848,1342.199865793129,1.5,15.0,19011.000366210938,24.93328045968883,66.03176526418886,0.5613781291770925,True,Trend OK; Near MA20/50; RSI OK; Vol bonus
SHRIRAMFIN.NS,True,10,1061.5,1003.5040830787387,1148.493875381892,1.5000000000000009,17.0,18045.5,28.997958460630635,54.51048093001489,8.399177741173403,True,Trend OK; Near MA20/50; RSI OK; Vol bonus
ADANIPORTS.NS,True,9,1846.5,1777.257114955357,1950.3643275669642,1.4999999999999984,10.0,18465.0,34.62144252232143,49.61764447470731,2.066326853666278,False,Trend OK; Near MA20/50; RSI OK
APOLLOHOSP.NS,True,9,8926.5,8637.214285714286,9360.42857142857,1.5,2.0,17853.0,144.64285714285714,66.55913978494624,5.125369643481714,False,Trend OK; Near MA20/50; RSI OK
ASIANPAINT.NS,True,9,2692.39990234375,2597.8285086495534,2834.256992885045,1.5,7.0,18846.79931640625,47.285696847098215,45.02074688796681,1.1510371976927614,False,Trend OK; Near MA20/50; RSI OK
GRASIM.NS,True,9,3179.800048828125,3058.4857352120534,3361.7715192522323,1.5,6.0,19078.80029296875,60.657156808035715,54.128259660608,2.18063455110149,False,Trend OK; Near MA20/50; RSI OK
NESTLEIND.NS,True,9,1451.9000244140625,1399.9790200774207,1529.7815309190253,1.5000000000000022,13.0,18874.700317382812,25.960502168320936,51.915372283692115,2.5826692092178805,False,Trend OK; Near MA20/50; RSI OK
